text,ID,AwT_score,SoE_score
"We report the case of a 5-year-old boy diagnosed with congenital adrenal hyperplasia due to 11-hydroxylase deficiency, revealed by disorders of sex development (DSD) and acute pulmonary edema due to severe hypertension. We considered the diagnosis based on biological and radiological examinations. The sociocultural background and the delayed diagnosis had a significant impact on the therapeutic decisions. All babies should be screened for 11 beta-hydroxylase deficiency, there should be specialized and interdisciplinary medical centers, and early detection is essential to avoiding serious complications of this disease.",11110861,0.15,0.05
"Dyskeratosis congenita (DKC) is a rare genetic disorder characterized by lacy reticular skin hyperpigmentation, bone marrow failure, nail dystrophy, and oral leukoplakia. To the best of our knowledge, only around 200 cases were reported in the medical literature, and in this report, we present another distinctive case from Syria. This case report describes a male patient with generalized reticular pigmentation and abnormal nails since childhood. The patient reported a history of recurrent urethral stenosis and corneal density. Dermoscopic examination revealed pigmented lines arranged in a netlike pattern. Histopathological findings were nonspecific. Hematological values were unremarkable. A contrast CT scan revealed changes in the bladder wall. The final diagnosis of Dyskeratosis Congenita was made based on the clinical criteria. This disorder can present with additional cutaneous manifestations and systemic complications. Treatment are generally prescribed to maintain bone marrow function, based on the fact that it is the major cause of death. Regular monitoring and screening for associated conditions are recommended.",11110863,0.15,0.05
"Spermatozoa cryopreservation has been practiced for decades and is a very useful technique for long-term preservation of sperm fertility. The capability for semen cryopreservation varies across species, seasons, latitudes, and even for different ejaculates from the same animal. This article summarizes research results on sperm cryotolerance biomarkers in several species, focusing on three areas: spermatozoa cryotolerance biomarkers, seminal plasma proteins cryotolerance biomarkers, and other cryotolerance biomarkers. We discovered that sperm cryoresistance biomarkers are primarily related to sperm plasma membrane stability, the presence of antioxidant substances in sperm or seminal plasma, sperm cell energy metabolism, water and small molecule transport channels in the sperm plasma membrane, and antistress substances in sperm or seminal plasma. The research conducted using diverse livestock models can be employed to enhance the basic and applied reproduction of other mammals through the study of sperm cryotolerance biomarkers, as well as the substantial similarities between livestock and other organisms, including endangered species."11111053,0,0.05
"Mitochondria are hubs of metabolic activity with a major role in ATP conversion by oxidative phosphorylation (OXPHOS). The mammalian mitochondrial genome encodes 11 mRNAs encoding 13 OXPHOS proteins along with 2 rRNAs and 22 tRNAs, that facilitate their translation on mitoribosomes. Maintaining the internal production of core OXPHOS subunits requires modulation of the mitochondrial capacity to match the cellular requirements and correct insertion of particularly hydrophobic proteins into the inner mitochondrial membrane. The mitochondrial translation system is essential for energy production and defects result in severe, phenotypically diverse diseases, including mitochondrial diseases that typically affect postmitotic tissues with high metabolic demands. Understanding the complex mechanisms that underlie the pathologies of diseases involving impaired mitochondrial translation is key to tailoring specific treatments and effectively targeting the affected organs. Disease mutations have provided a fundamental, yet limited, understanding of mitochondrial protein synthesis, since effective modification of the mitochondrial genome has proven challenging. However, advances in next generation sequencing, cryoelectron microscopy, and multi-omic technologies have revealed unexpected and unusual features of the mitochondrial protein synthesis machinery in the last decade. Genome editing tools have generated unique models that have accelerated our mechanistic understanding of mitochondrial translation and its physiological importance. Here we review the most recent mouse models of disease pathogenesis caused by defects in mitochondrial protein synthesis and discuss their value for preclinical research and therapeutic development.",11112386,0,0.05
"Genetic diversity underpins evolutionary potential that is essential for the long‐term viability of wildlife populations. Captive populations harbor genetic diversity potentially lost in the wild, which could be valuable for release programs and genetic rescue. The Critically Endangered Arabian leopard (Panthera pardus nimr) has disappeared from most of its former range across the Arabian Peninsula, with fewer than 120 individuals left in the wild, and an additional 64 leopards in captivity. We (i) examine genetic diversity in the wild and captive populations to identify global patterns of genetic diversity and structure; (ii) estimate the size of the remaining leopard population across the Dhofar mountains of Oman using spatially explicit capture–recapture models on DNA and camera trap data, and (iii) explore the impact of genetic rescue using three complementary computer modeling approaches. We estimated a population size of 51 (95% CI 32–79) in the Dhofar mountains and found that 8 out of 25 microsatellite alleles present in eight loci in captive leopards were undetected in the wild. This includes two alleles present only in captive founders known to have been wild‐sourced from Yemen, which suggests that this captive population represents an important source for genetic rescue. We then assessed the benefits of reintroducing novel genetic diversity into the wild population as well as the risks of elevating the genetic load through the release of captive‐bred individuals. Simulations indicate that genetic rescue can improve the long‐term viability of the wild population by reducing its genetic load and realized load. The model also suggests that the genetic load has been partly purged in the captive population, potentially making it a valuable source population for genetic rescue. However, the greater loss of its genetic diversity could exacerbate genomic erosion of the wild population during a rescue program, and these risks and benefits should be carefully evaluated. An important next step in the recovery of the Arabian leopard is to empirically validate these conclusions, implement and monitor a genomics‐informed management plan, and optimize a strategy for genetic rescue as a tool to recover Arabia's last big cat.",11113348,0,0
"Heart failure is a leading cause of death in the elderly. Traditional Chinese medicine, a verified alternative therapeutic regimen, has been used to treat heart failure, which is less expensive and has fewer adverse effects. In this study, a total of 15 active ingredients of Astragalus membranaceus (Huangqi, HQ) were obtained; among them, Isorhamnetin, Quercetin, Calycosin, Formononetin, and Kaempferol were found to be linked to heart failure. Ang II significantly enlarged the cell size of cardiomyocytes, which could be partially reduced by Quercetin, Isorhamnetin, Calycosin, Kaempferol, or Formononetin. Ang II significantly up‐regulated ANP, BNP, β‐MHC, and CTGF expressions, whereas Quercetin, Isorhamnetin, Calycosin, Kaempferol or Formononetin treatment partially downregulated ANP, BNP, β‐MHC and CTGF expressions. Five active ingredients of HQ attenuated inflammation in Ang II‐induced cardiomyocytes by inhibiting the levels of TNF‐α, IL‐1β, IL‐18 and IL‐6. Molecular docking shows Isorhamnetin, Quercetin, Calycosin, Formononetin and Kaempferol can bind with its target protein ESR1 in a good bond by intermolecular force. Quercetin, Calycosin, Kaempferol or Formononetin treatment promoted the expression levels of ESR1 and phosphorylated ESR1 in Ang II‐stimulated cardiomyocytes; however, Isorhamnetin treatment had no effect on ESR1 and phosphorylated ESR1 expression levels. In conclusion, our results comprehensively illustrated the bioactives, potential targets, and molecular mechanism of HQ against heart failure. Isorhamnetin, Quercetin, Calycosin, Formononetin and Kaempferol might be the primary active ingredients of HQ, dominating its cardioprotective effects against heart failure through regulating ESR1 expression, which provided a basis for the clinical application of HQ to regulate cardiac hypertrophy and heart failure.",11114218,0.3,0
"Exportin‐1 (XPO1), a crucial protein regulating nuclear‐cytoplasmic transport, is frequently overexpressed in various cancers, driving tumor progression and drug resistance. This makes XPO1 an attractive therapeutic target. Over the past few decades, the number of available nuclear export‐selective inhibitors has been increasing. Only KPT‐330 (selinexor) has been successfully used for treating haematological malignancies, and KPT‐8602 (eltanexor) has been used for treating haematologic tumours in clinical trials. However, the use of nuclear export‐selective inhibitors for the inhibition of XPO1 expression has yet to be thoroughly investigated in clinical studies and therapeutic outcomes for solid tumours. We collected numerous literatures to explain the efficacy of XPO1 Inhibitors in preclinical and clinical studies of a wide range of solid tumours. In this review, we focus on the nuclear export function of XPO1 and results from clinical trials of its inhibitors in solid malignant tumours. We summarized the mechanism of action and therapeutic potential of XPO1 inhibitors, as well as adverse effects and response biomarkers. XPO1 inhibition has emerged as a promising therapeutic strategy in the fight against cancer, offering a novel approach to targeting tumorigenic processes and overcoming drug resistance. SINE compounds have demonstrated efficacy in a wide range of solid tumours, and ongoing research is focused on optimizing their use, identifying response biomarkers, and developing effective combination therapies. Exportin‐1 (XPO1) plays a critical role in mediating nucleocytoplasmic transport and cell cycle.XPO1 dysfunction promotes tumourigenesis and drug resistance within solid tumours.The therapeutic potential and ongoing researches on XPO1 inhibitors in the treatment of solid tumours.Additional researches are essential to address safety concerns and identify biomarkers for predicting patient response to XPO1 inhibitors. Exportin‐1 (XPO1) plays a critical role in mediating nucleocytoplasmic transport and cell cycle. XPO1 dysfunction promotes tumourigenesis and drug resistance within solid tumours. The therapeutic potential and ongoing researches on XPO1 inhibitors in the treatment of solid tumours. Additional researches are essential to address safety concerns and identify biomarkers for predicting patient response to XPO1 inhibitors.",11116501,0.3,0.05
"Platelet‐to‐albumin ratio (PAR) is a new systemic inflammatory prognostic indicator associated with many inflammatory diseases. However, its role in radiation cystitis (RC) is obscure. This study aimed to explore whether PAR could be used as an effective parameter for predicting the RC risk in local advanced cervical cancer (CC) treated with radiotherapy. A total of 319 local advanced CC patients who received radical radiotherapy at Fujian Cancer Hospital were enrolled between December 2018 and January 2021. Demographics and clinical parameters were retrospectively analyzed. Univariate and multivariate analyses were used to identify the risk factors for RC. Backward and stepwise regression was applied to construct two monograms‐one with primary significant factors and the other with extra inflammatory biomarkers. A DeLong test was applied to compare the prediction abilities of two nomograms. Calibration curves and decision curve analysis (DCA) evaluated its prediction consistency, discrimination ability, and clinical net benefit. Univariate analysis showed that age, tumor size, stage, total radiation dose, pelvic radiation dose, Systemic Immune‐Inflammation Index (SII), platelet‐to‐lymphocyte ratio (PLR), and PAR were significantly associated with RC occurrence (all p < 0.05). Multivariate analyses indicated that age, tumor size, stage, total radiation dose, and PAR were independent factors (all p < 0.05). Then, the area under curve (AUC) value of the nomogramSII+PAR was higher (AUC = 0.774) compared to that of the baseline nomogram (AUC = 0.726) (p Delong = 0.02). Also, the five‐cross validation confirmed the stability of the nomogramSII+PAR. Moreover, the calibration curve and DCA exhibited the nomograms' good prediction consistency and clinical practicability. PAR and SII could be valued for CC patients who are treated with radiation therapy. The nomogram based on PAR and SII could stratify patients who need extra intervention and nursing care to prevent bladder radiation damage and improve patients' quality of life.",11117193,0.15,0.3
"We present the case of a 20-year-old woman with classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, with uncontrolled hyperandrogenemia despite supraphysiological glucocorticoid therapy. We used abiraterone acetate, an inhibitor of the 17-hydroxylase/17,20-lyase enzyme, to suppress adrenal androgen synthesis and allow physiological glucocorticoid and mineralocorticoid therapy, as a proof-of-concept, before proceeding to bilateral adrenalectomy. We report the patient's clinical course, the changes in adrenal steroids, and the immunohistochemistry of the adrenals.",11119162,0.35,0.05
"MicroRNAs can interfere with protein function by suppressing their messenger RNA translation or the synthesis of its related factors. The function of brain-derived neurotrophic factor (BDNF) is essential to the proper formation and function of the nervous system and is seen to be regulated by many microRNAs. However, understanding how microRNAs influence BDNF actions within cells requires a wider comprehension of their integrative regulatory mechanisms. Aim: In this literature review, we have synthesized the evidence of microRNA regulation on BDNF in cells and tissues, and provided an analytical discussion about direct and indirect mechanisms that appeared to be involved in BDNF regulation by microRNAs. Methods: Searches were conducted on PubMed.gov using the terms “BDNF” AND “MicroRNA” and “brain-derived neurotrophic factor” AND “MicroRNA”, updated on 1 September 2023. Papers without open access were requested from the authors. One hundred and seventy-one papers were included for review and discussion. Results and Discussion: The local regulation of BDNF by microRNAs involves a complex interaction between a series of microRNAs with target proteins that can either inhibit or enhance BDNF expression, at the core of cell metabolism. Therefore, understanding this homeostatic balance provides resources for the future development of vector-delivery-based therapies for the neuroprotective effects of BDNF.",11119608,0.1,0
"Keratin-positive giant cell-rich tumor (KPGCT) is a recently described mesenchymal tumor characterized by keratin-positive cells and recurrent HMGA2–NCOR2 fusions. Due to the rarity of the disease, KPGCT is poorly understood. Our objective with this review article is to provide a comprehensive reference, offer valuable insights into the clinicopathological characteristics and pathogenesis, and summarize current therapeutic options for KPGCT. Keratin-positive giant cell-rich tumor (KPGCT) is an extremely rare and recently described mesenchymal neoplasm that occurs in both soft tissue and bone, frequently found in young women. It has locally recurrent potential if incompletely excised but low risk for metastasis. KPGCT is histologically similar to conventional giant cell tumors of soft tissue but shows the presence of keratin-positive mononuclear cells. Interestingly, KPGCT also shares some morphological features with xanthogranulomatous epithelial tumors. These two tumors have recently been shown to harbor an HMGA2–NCOR2 fusion, arguing in favor of a single entity. Surgery is the treatment of choice for localized KPGCT. Therapeutic options for advanced or metastatic disease are unknown. This review provides an overview of the current knowledge on the clinical presentation, pathogenesis, histopathology, and treatment of KPGCT. In addition, we will discuss the differential diagnosis of this emerging entity.",11120402,0.15,0.05
"Endometriosis is a benign, estrogen-dependent condition, usually occurring in menstruating and, rarely, in postmenopausal women, in which endometrial glands and stroma grow ectopically outside the uterus. Most often, ectopic endometrial tissue is found within the pelvis and nearby structures. However, endometrial tissue within the upper gastrointestinal tract is very rare and can be a source of bleeding and abdominal pain. Here, we report a case of a 71-year-old postmenopausal woman with hematochezia and diffuse abdominal pain, who was found to have pyloric endometriosis, the pathogenesis of which we will briefly explore.",11124663,0.15,0.05
"Selenium nanoparticles (SeNPs) are an appealing carrier for the targeted delivery. The selenium nanoparticles are gaining global attention because of the potential therapeutic applications in several diseases e.g., rheumatoid arthritis (RA), inflammatory bowel disease (IBD), asthma, liver, and various autoimmune disorders like psoriasis, cancer, diabetes, and a variety of infectious diseases. Despite the fact still there is no recent literature that summarises the therapeutic applications of SeNPs. There are some challenges that need to be addressed like finding targets for SeNPs in various diseases, and the various functionalization techniques utilized to increase SeNP’s stability while facilitating wide drug-loaded SeNP distribution to tumor areas and preventing off-target impacts need to focus on understanding more about the therapeutic aspects for better understanding the science behind it. Keeping that in mind we have focused on this gap and try to summarize all recent key targeted therapies for SeNPs in cancer treatment and the numerous functionalization strategies. We have also focused on recent advancements in SeNP functionalization methodologies and mechanisms for biomedical applications, particularly in anticancer, anti-inflammatory, and anti-infection therapeutics. Based on our observation we found that SeNPs could potentially be useful in suppressing viral epidemics, like the ongoing COVID-19 pandemic, in complement to their antibacterial and antiparasitic uses. SeNPs are significant nanoplatforms with numerous desirable properties for clinical translation.",11127871,0.15,0.05
